,columns,feat_selection,featsel_chi2,featsel_chi2_pvals
0,duration,True,321.0307953062103,8.63719683403932e-72
1,credit_amount,True,58262.49000691708,0.0
2,instal_rate,True,2.204619351945284,0.13759785485683243
3,resid_since,False,0.0037660055234744255,0.9510663046679834
4,age,True,30.200309190237782,3.896473445897864e-08
5,no_exist_credits,False,0.49551561918299514,0.481477175286233
6,mainten_no,False,0.0010307153164296021,0.9743885111414465
7,other_debtors=A101,False,5.250170630543703e-05,0.994218733755326
8,other_debtors=A102,True,3.7735191637630674,0.052069972275356466
9,other_debtors=A103,True,2.8717948717948723,0.09014428622634843
10,other_debtors=nan,False,,
11,pers_status=A91,True,2.380952380952381,0.12282264810139186
12,pers_status=A92,True,3.9324116743471587,0.04736397461362411
13,pers_status=A93,True,2.941953423705253,0.086306300447642
14,pers_status=A94,False,0.34989648033126325,0.5541717358884044
15,pers_status=nan,False,,
16,foreign_worker=A201,False,0.24927063244820177,0.6175891163795768
17,foreign_worker=A202,True,6.487773487773488,0.010861893587211182
18,foreign_worker=nan,False,,
19,housing=A151,True,7.068103218941209,0.007846828295907013
20,housing=A152,True,5.198757763975161,0.022603035753073777
21,housing=A153,True,5.932980599647266,0.014860086792361114
22,housing=nan,False,,
23,job=A171,False,0.034632034632034604,0.8523688183142678
24,job=A172,False,0.38095238095238093,0.5370939784426414
25,job=A173,False,0.06802721088435373,0.7942311156261253
26,job=A174,False,1.4015444015444012,0.23646515858866168
27,job=nan,False,,
28,telephone=A191,False,0.5372323426014712,0.4635820021039768
29,telephone=A192,False,0.7925506836397938,0.3733299674935092
30,telephone=nan,False,,
31,property=A121,True,10.218844984802434,0.0013901288027366955
32,property=A122,False,0.040229885057471104,0.8410317764898458
33,property=A123,False,0.08261617900172098,0.7737828613203268
34,property=A124,True,13.377860235003094,0.0002546120429126424
35,property=nan,False,,
36,instal_plans=A141,True,8.019527235354577,0.004627564860685999
37,instal_plans=A142,True,2.4326241134751774,0.11883382209626153
38,instal_plans=A143,True,2.387036387036389,0.12234537200398327
39,instal_plans=nan,False,,
40,purpose=A40,True,7.192511192511187,0.007320845656115571
41,purpose=A41,True,8.932501155802127,0.0028014046402780684
42,purpose=A410,False,0.7777777777777777,0.37782163710006367
43,purpose=A42,False,0.3601683767429621,0.5484127382452135
44,purpose=A43,True,8.231292517006803,0.004117419605325308
45,purpose=A44,False,0.06349206349206345,0.8010593708697096
46,purpose=A45,False,0.4242424242424242,0.514827712198444
47,purpose=A46,True,4.666666666666666,0.03075356125927456
48,purpose=A48,False,1.529100529100529,0.21624748948892247
49,purpose=A49,False,1.178694158075601,0.27762199940902754
50,purpose=nan,False,,
51,savings=A61,True,10.291479112374628,0.001336459174850576
52,savings=A62,False,0.4442903374942208,0.5050589280783011
53,savings=A63,True,4.717309145880575,0.0298604357726998
54,savings=A64,True,7.000000000000002,0.00815097159350271
55,savings=A65,True,13.645849596669272,0.00022072868948878747
56,savings=nan,False,,
57,check_status=A11,True,48.4504692387904,3.3873725578631823e-12
58,check_status=A12,True,10.45300053106744,0.0012245038596216634
59,check_status=A13,True,1.8148148148148153,0.1779317252682543
60,check_status=A14,True,63.00265893159296,2.0642772738552964e-15
61,check_status=nan,False,,
62,mod_status=No Savings,True,52.13022888713494,5.193917717549101e-13
63,mod_status=Savings,True,1.8148148148148153,0.1779317252682543
64,mod_status=Unknown,True,63.00265893159296,2.0642772738552964e-15
65,mod_status=nan,False,,
66,credit_history=A30,True,20.11904761904762,7.276835270588304e-06
67,credit_history=A31,True,17.19047619047619,3.381272563301577e-05
68,credit_history=A32,False,0.898472596585804,0.34319159451986403
69,credit_history=A33,False,0.13852813852813842,0.7097486481705149
70,credit_history=A34,True,23.344872419957742,1.3540398240929455e-06
71,credit_history=nan,False,,
72,pres_employ_since=A71,False,1.48694316436252,0.2226913515000999
73,pres_employ_since=A72,True,9.373200442967882,0.0022018075443619844
74,pres_employ_since=A73,False,0.07430818935243667,0.7851643368261102
75,pres_employ_since=A74,True,4.7684729064039395,0.028985525199286093
76,pres_employ_since=A75,True,2.665349143610011,0.10255531797883388
77,pres_employ_since=nan,False,,
